what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1552309657144
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1552309659666
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1552309660398
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1552309669677
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1552309670692
error,log,,,"Unhandled event loop exception",1552309672074
error,log,,,"Unhandled event loop exception",1552309672316
error,log,,,"Unhandled event loop exception",1552309672334
error,log,,,"Unhandled event loop exception",1552309673712
error,log,,,"Unhandled event loop exception",1552309673743
error,log,,,"Unhandled event loop exception",1552309673775
error,log,,,"Unhandled event loop exception",1552309673808
error,log,,,"Unhandled event loop exception",1552309673842
error,log,,,"Unhandled event loop exception",1552309673874
error,log,,,"Unhandled event loop exception",1552309673907
error,log,,,"Unhandled event loop exception",1552309673940
error,log,,,"Unhandled event loop exception",1552309674556
error,log,,,"Unhandled event loop exception",1552309674728
error,log,,,"Unhandled event loop exception",1552309674731
error,log,,,"Unhandled event loop exception",1552309675067
error,log,,,"Unhandled event loop exception",1552309675356
error,log,,,"Unhandled event loop exception",1552309675521
error,log,,,"Unhandled event loop exception",1552309675960
error,log,,,"Unhandled event loop exception",1552309676180
failed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1552309676180
error,log,,,"""Select All"" did not complete normally.  Please see the log for more information.",1552309676182
error,log,,,"Argument not valid",1552309676183
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552309676227
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552309676958
error,log,,,"Unhandled event loop exception",1552309678149
error,log,,,"Unhandled event loop exception",1552309678556
error,log,,,"Unhandled event loop exception",1552309678705
error,log,,,"Unhandled event loop exception",1552309678829
error,log,,,"Unhandled event loop exception",1552309678833
error,log,,,"Unhandled event loop exception",1552309678914
error,log,,,"Unhandled event loop exception",1552309680032
error,log,,,"Unhandled event loop exception",1552309680476
error,log,,,"Unhandled event loop exception",1552309680522
error,log,,,"Unhandled event loop exception",1552309680538
error,log,,,"Unhandled event loop exception",1552309680683
error,log,,,"Unhandled event loop exception",1552309680746
error,log,,,"Unhandled event loop exception",1552309680830
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552309687859
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552309688545
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1552309688568
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1552309692971
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1552309699428
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1552309711549
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1552309720230
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1552309721772
error,log,,,"Unhandled event loop exception",1552309728947
error,log,,,"Unhandled event loop exception",1552309729156
error,log,,,"Unhandled event loop exception",1552309729161
error,log,,,"Unhandled event loop exception",1552309729164
error,log,,,"Unhandled event loop exception",1552309729450
error,log,,,"Unhandled event loop exception",1552309729612
error,log,,,"Unhandled event loop exception",1552309729786
error,log,,,"Unhandled event loop exception",1552309731484
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1552309754866
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1552309756238
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1552309757931
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1552309759511
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1552309760392
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1552309764758
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1552309771249
error,log,,,"Unhandled event loop exception",1552309781106
error,log,,,"Unhandled event loop exception",1552309781797
error,log,,,"Unhandled event loop exception",1552309781995
error,log,,,"Unhandled event loop exception",1552309782256
error,log,,,"Unhandled event loop exception",1552309782356
error,log,,,"Unhandled event loop exception",1552309782497
error,log,,,"Unhandled event loop exception",1552309782691
error,log,,,"Unhandled event loop exception",1552309782706
error,log,,,"Unhandled event loop exception",1552309782709
error,log,,,"Unhandled event loop exception",1552309782711
error,log,,,"Unhandled event loop exception",1552309782723
error,log,,,"Unhandled event loop exception",1552309782726
error,log,,,"Unhandled event loop exception",1552309782915
error,log,,,"Unhandled event loop exception",1552309782917
error,log,,,"Unhandled event loop exception",1552309782996
error,log,,,"Unhandled event loop exception",1552309782999
error,log,,,"Unhandled event loop exception",1552309783105
error,log,,,"Unhandled event loop exception",1552309783107
error,log,,,"Unhandled event loop exception",1552309783109
error,log,,,"Unhandled event loop exception",1552309783111
error,log,,,"Unhandled event loop exception",1552309783168
error,log,,,"Unhandled event loop exception",1552309783170
error,log,,,"Unhandled event loop exception",1552309783376
error,log,,,"Unhandled event loop exception",1552309783378
error,log,,,"Unhandled event loop exception",1552309783488
error,log,,,"Unhandled event loop exception",1552309783490
error,log,,,"Unhandled event loop exception",1552309783506
error,log,,,"Unhandled event loop exception",1552309783508
error,log,,,"Unhandled event loop exception",1552309783586
error,log,,,"Unhandled event loop exception",1552309783587
error,log,,,"Unhandled event loop exception",1552309783713
error,log,,,"Unhandled event loop exception",1552309783715
error,log,,,"Unhandled event loop exception",1552309784260
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1552309814412
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1552309822001
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1552309825520
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1552309826146
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1552309826764
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1552309828575
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1552309829246
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1552309831197
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1552309845795
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1552309850155
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1552309882865
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1552309885178
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1552309885639
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1552309910603
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1552309911398
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1552309916520
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1552309918818
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1552309921643
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1552309926719
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1552309996761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552310001130
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552310057429
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1552310063041
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1552310067066
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552310068270
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552310068783
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1552310091933
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1552310093924
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1552310100601
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1552310210327
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1552310216080
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1552310216322
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1552310220614
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1552310223955
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1552310224117
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1552310224981
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552310229955
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552310231359
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1552310231987
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1552310264447
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1552310273138
error,log,,,"Internal Error",1552310276385
error,log,,,"Internal Error",1552310276440
error,log,,,"Internal Error",1552310276609
error,log,,,"Internal Error",1552310276775
error,log,,,"Internal Error",1552310277140
error,log,,,"Internal Error",1552310277324
error,log,,,"Internal Error",1552310277472
error,log,,,"Internal Error",1552310277639
error,log,,,"Internal Error",1552310277824
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1552310282671
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1552310292998
